seed,mean_reward
65,-339.01
25,-315.65
18,-301.76
9,-294.78
68,-293.7
57,-287.4
29,-281.22
16,-279.22
27,-277.8
44,-275.92
69,-264.76
67,-262.56
6,-254.6
38,-251.34
42,-249.36
26,-246.85
85,-243.97
81,-241.9
93,-237.95
49,-236.26
17,-235.79
60,-223.37
35,-223.13
30,-223.01
15,-220.21
75,-218.02
66,-217.25
59,-216.62
58,-215.28
32,-213.32
51,-206.55
21,-206.18
71,-202.99
74,-202.52
78,-202.16
53,-198.02
89,-196.33
86,-192.4
47,-191.67
73,-189.96
91,-189.54
36,-188.74
97,-187.26
13,-185.94
90,-185.81
5,-180.61
23,-180.18
2,-179.76
7,-177.57
10,-176.03
1,-175.86
96,-175.26
61,-173.25
63,-171.82
55,-170.8
33,-170.34
52,-165.23
83,-162.82
98,-159.79
41,-153.68
76,-152.75
37,-152.59
77,-152.3
95,-149.71
43,-147.79
14,-147.53
12,-147.14
48,-146.46
3,-146.25
72,-141.51
64,-139.03
39,-138.77
11,-137.84
0,-136.37
94,-135.41
4,-131.87
62,-130.56
31,-130.27
19,-129.37
92,-124.9
56,-124.84
79,-119.82
87,-119.52
28,-118.37
34,-117.89
54,-117.07
20,-114.04
22,-113.92
40,-112.17
46,-106.87
82,-105.39
8,-105.24
84,-104.83
45,-104.33
70,-102.64
99,-101.6
80,-101.17
50,-100.36
88,-97.6
24,-86.77
